ID;ФИО;ДатаРождения;Город;Телефон;Email;Образование;Комментарий
1;Фёдоров Константин Евгеньевич;1996-02-18;Самара;+79374131027;net9089@bk.ru;Среднее специальное;Разработчик ПО
2;Лебедев Виктор Дмитриевич;1970-01-27;Челябинск;+79226723748;random69824@bk.ru;Общее среднее;Дизайнер интерфейсов
3;Захаров Руслан Робертович;1970-02-05;Новосибирск;+79197345259;contact68745@bk.ru;Высшее;Разработчик ПО
4;Григорьев Константин Михайлович;2006-07-24;Екатеринбург;+79825132606;daniil.pavlov@list.ru;Среднее специальное;Сварщик
5;Петров Руслан Алексеевич;1991-01-04;Ижевск;+79635429436;contact50576@bk.ru;Магистратура;Маркетолог
6;Ильин Сергей Константинович;2000-12-19;Пермь;+79086666831;data25803@gmail.com;Аспирантура;Курьер
7;Сидоров Тарас Маркелович;1989-09-13;Челябинск;+79515646062;hard81221@mail.ru;Аспирантура;Фрилансер
8;Сергеев Руслан Алексеевич;1990-04-11;Санкт-Петербург;+79522851494;box28796@inbox.ru;Среднее;Сварщик
9;Зайцев Устин Антонович;1995-09-05;Нижний Новгород;+79911514414;max66591@rambler.ru;Среднее специальное;Разработчик ПО
10;Егоров Тарас Егорович;2001-08-10;Новосибирск;+79149757158;serg4853@bk.ru;Среднее;Сварщик
11;Степанов Олег Кириллович;2005-06-16;Саратов;+79603695335;support15280@inbox.ru;Аспирантура;Курьер
12;Васильев Илья Олегович;2003-08-19;Казань;+79602098106;cloud79047@rambler.ru;Аспирантура;Логист
13;Ильин Вадим Никитич;2000-04-12;Нижний Новгород;+79304248782;fyodorovgeorgiy@mail.ru;Магистратура;Разработчик ПО
14;Егоров Даниил Маркович;2005-07-17;Краснодар;+79528067884;roma85075@list.ru;Среднее;Логист
15;Егоров Савва Евгеньевич;1977-07-25;Уфа;+79171667437;tech12487@list.ru;Неоконченное высшее;Системный администратор
16;Васильев Семён Иванович;1990-06-05;Ростов-на-Дону;+79898759296;study22841@gmail.com;Среднее специальное;Готов к переезду
17;Соколов Роман Тарасович;2006-10-26;Красноярск;+79331240919;tech24519@bk.ru;Среднее специальное;Научный сотрудник
18;Григорьев Павел Никитич;1970-05-02;Красноярск;+79537206174;info35718@bk.ru;Общее среднее;Курьер
19;Новиков Тимур Маркович;1992-07-09;Москва;+79651043185;cloud53011@yandex.ru;Среднее;Разработчик ПО
20;Новиков Егор Иванович;1984-09-16;Екатеринбург;+79821864371;matvey.romanov@yandex.ru;Общее среднее;Логист
21;Калинин Устин Сергеевич;1987-12-25;Ижевск;+79639325209;random5013@yandex.ru;Аспирантура;Фрилансер
22;Николаев Герман Филиппович;1987-04-19;Ростов-на-Дону;+79619978699;makarov_fyodor@yandex.ru;Среднее;Научный сотрудник
23;Степанов Герман Демидович;1979-04-19;Новосибирск;+79837926144;job78091@bk.ru;Профессиональное;Юрист
24;Медведев Тимур Викторович;1985-04-06;Нижний Новгород;+79107704086;account60544@rambler.ru;Среднее специальное;Научный сотрудник
25;Соловьёв Степан Никитич;1995-10-22;Воронеж;+79606519655;support57343@inbox.ru;Магистратура;Бариста
26;Морозов Алексей Германович;1981-09-03;Санкт-Петербург;+79529261909;grigorev.viktor@gmail.com;Магистратура;Бухгалтер
27;Медведев Вадим Павлович;1989-11-14;Самара;+79673658448;net24864@inbox.ru;Высшее;Маркетолог
28;Макаров Фёдор Романович;1993-12-05;Санкт-Петербург;+79219131981;client59240@bk.ru;Среднее специальное;Автомеханик
29;Борисов Платон Викторович;1987-05-09;Тольятти;+79275766534;soft39993@rambler.ru;Профессиональное;Дизайнер интерфейсов
30;Кузнецов Никита Владимирович;2003-02-12;Челябинск;+79674667090;ivan51939@mail.ru;Среднее;Фрилансер
31;Ильин Никита Устинович;1994-03-07;Омск;+79239732878;career59721@inbox.ru;Профессиональное;Ищет работу по специальности
32;Соколов Пётр Олегович;1999-07-05;Нижний Новгород;+79613823555;nikita10441@list.ru;Неоконченное высшее;Дизайнер интерфейсов
33;Сидоров Георгий Владимирович;1975-08-03;Москва;+79667431879;box37358@bk.ru;Общее среднее;Логист
34;Ильин Олег Олегович;1987-02-02;Санкт-Петербург;+79118502134;account59228@rambler.ru;Магистратура;Разработчик ПО
35;Фёдоров Владимир Евгеньевич;1998-04-18;Уфа;+79677064187;web24992@bk.ru;Неоконченное высшее;Маркетолог
36;Дмитриев Фёдор Германович;1998-01-03;Челябинск;+79828508957;study31237@mail.ru;Аспирантура;Логист
37;Макаров Евгений Владимирович;2006-05-05;Пермь;+79824590680;petrovmatvey@inbox.ru;Высшее;Опыт работы 2 года
38;Сидоров Маркел Александрович;1994-10-07;Волгоград;+79199664547;sokolovoleg@yandex.ru;Профессиональное;Курьер
39;Алексеев Артур Фёдорович;1979-12-09;Нижний Новгород;+79304586530;user34812@inbox.ru;Магистратура;Дизайнер интерфейсов
40;Васильев Борис Александрович;1980-07-07;Воронеж;+79607418337;dev20907@bk.ru;Общее среднее;Опыт работы 2 года
41;Яковлев Тарас Саввич;2002-10-20;Нижний Новгород;+79953756574;smirnov.evgeniy@list.ru;Высшее;Разработчик ПО
42;Калинин Александр Романович;1982-01-06;Пермь;+79122024401;career55447@list.ru;Аспирантура;Финансовый аналитик
43;Кузнецов Виктор Игоревич;1979-04-01;Екатеринбург;+79085865283;client46663@mail.ru;Среднее;Юрист
44;Смирнов Евгений Андреевич;1970-04-15;Красноярск;+79839184497;hard26518@inbox.ru;Профессиональное;Менеджер по продажам
45;Соловьёв Игорь Романович;2004-01-29;Воронеж;+79206767784;net46169@list.ru;Неоконченное высшее;Бариста
46;Степанов Георгий Константинович;1977-11-17;Санкт-Петербург;+79311232419;data4045@inbox.ru;Высшее;Дизайнер интерфейсов
47;Фёдоров Георгий Тимурович;1996-02-03;Тюмень;+79128878131;dev7230@inbox.ru;Среднее;Маркетолог
48;Волков Савва Устинович;2006-06-01;Самара;+79625969193;job47705@gmail.com;Аспирантура;Сварщик
49;Медведев Виктор Андреевич;2000-03-04;Тюмень;+79083382465;box39251@inbox.ru;Высшее;Автомеханик
50;Зайцев Кирилл Никитич;1982-04-24;Омск;+79627579136;net67628@rambler.ru;Высшее;Логист
51;Семёнов Марк Тарасович;1981-05-25;Челябинск;+79822338111;romanovsavva@gmail.com;Высшее;Разработчик ПО
52;Яковлев Артур Семёнович;1974-03-13;Саратов;+79672602084;sys55707@mail.ru;Магистратура;Дизайнер интерфейсов
53;Новиков Иван Георгиевич;1979-08-13;Омск;+79933323255;petrovaleksey@bk.ru;Неоконченное высшее;Дизайнер интерфейсов
54;Андреев Денис Владимирович;1973-03-10;Пермь;+79125933902;tech9239@list.ru;Среднее;Дизайнер интерфейсов
55;Васильев Савва Алексеевич;1997-05-31;Нижний Новгород;+79616996319;alekseev_vladimir@yandex.ru;Среднее;Дизайнер интерфейсов
56;Козлов Маркел Демидович;2004-07-05;Саратов;+79374438084;project37182@bk.ru;Среднее специальное;Сварщик
57;Степанов Илья Егорович;2000-09-22;Тюмень;+79513894887;user2337@bk.ru;Среднее;Бухгалтер
58;Никитин Олег Маркелович;1997-03-08;Челябинск;+79085986270;client12880@gmail.com;Среднее;Дизайнер интерфейсов
59;Васильев Савва Матвеевич;1978-05-18;Красноярск;+79936576968;pavlovkonstantin@list.ru;Общее среднее;Системный администратор
60;Соколов Денис Демидович;1984-07-19;Москва;+79151807491;account71100@gmail.com;Неоконченное высшее;Менеджер по продажам
61;Лебедев Устин Евгеньевич;2003-11-06;Екатеринбург;+79518211787;project53974@rambler.ru;Профессиональное;Бухгалтер
62;Козлов Платон Германович;1987-01-05;Самара;+79879058774;lebedevustin@gmail.com;Высшее;Научный сотрудник
63;Волков Степан Игоревич;1983-01-19;Тюмень;+79089027246;support15231@rambler.ru;Среднее;Фрилансер
64;Сидоров Артём Романович;1995-11-20;Самара;+79608965527;ilya.vasilev@yandex.ru;Среднее специальное;Исследовательская деятельность
65;Медведев Степан Германович;2001-08-06;Краснодар;+79282830754;dima26332@bk.ru;Высшее;Бариста
66;Фёдоров Борис Константинович;1988-12-22;Тюмень;+79516367852;vasilevsavva@mail.ru;Профессиональное;Автомеханик
67;Алексеев Руслан Владимирович;1976-08-02;Челябинск;+79083384772;georgiy.zakharov@mail.ru;Высшее;Научный сотрудник
68;Степанов Константин Олегович;1988-11-14;Челябинск;+79675040536;box34598@bk.ru;Общее среднее;Маркетолог
69;Кузнецов Артём Русланович;1977-04-05;Воронеж;+79301413545;career84318@gmail.com;Среднее специальное;Готов к переезду
70;Макаров Владимир Сергеевич;1974-11-27;Омск;+79134104595;kirill10250@gmail.com;Среднее;Опыт работы 2 года
71;Макаров Николай Александрович;2003-07-20;Волгоград;+79603906252;core30983@list.ru;Среднее;Автомеханик
72;Борисов Константин Владимирович;1972-11-19;Воронеж;+79307738405;borisov_konstantin@rambler.ru;Общее среднее;Юрист
73;Захаров Георгий Денисович;1980-04-21;Воронеж;+79603394715;info43013@rambler.ru;Магистратура;Бариста
74;Макаров Фёдор Михайлович;1977-06-01;Санкт-Петербург;+79528136249;kalinin.lev@bk.ru;Высшее;Фрилансер
75;Алексеев Владимир Петрович;1980-10-31;Самара;+79879449397;andrey14202@rambler.ru;Магистратура;Ищет работу по специальности
76;Сидоров Максим Германович;1987-01-14;Тюмень;+79823565762;work77881@mail.ru;Среднее специальное;Разработчик ПО
77;Смирнов Дмитрий Тимофеевич;2001-01-18;Саратов;+79176295063;client28095@inbox.ru;Профессиональное;Бариста
78;Филиппов Герман Маркелович;2006-04-29;Москва;+79774948595;sergeevgleb@rambler.ru;Среднее;Сварщик
79;Кузьмин Дмитрий Тимурович;1973-02-16;Санкт-Петербург;+79603373651;data80730@yandex.ru;Неоконченное высшее;Менеджер по продажам
80;Никитин Степан Демидович;1976-08-22;Тюмень;+79323307525;work75976@mail.ru;Магистратура;Финансовый аналитик
81;Кузнецов Александр Игоревич;1983-03-31;Ижевск;+79504440876;temp22746@mail.ru;Аспирантура;Научный сотрудник
82;Михайлов Борис Тимурович;1977-08-03;Краснодар;+79526118686;sys45553@inbox.ru;Магистратура;Финансовый аналитик
83;Андреев Владимир Игоревич;1983-02-19;Омск;+79836948390;tech21672@rambler.ru;Общее среднее;Опыт работы 2 года
84;Медведев Степан Тимофеевич;1983-04-11;Красноярск;+79939698165;client34360@gmail.com;Неоконченное высшее;Логист
85;Фёдоров Фёдор Вадимович;2002-11-11;Санкт-Петербург;+79509017225;project55734@yandex.ru;Общее среднее;Курьер
86;Андреев Георгий Антонович;1992-07-16;Новосибирск;+79939115270;volkovstepan@yandex.ru;Среднее;Менеджер по продажам
87;Павлов Константин Олегович;1996-07-10;Ростов-на-Дону;+79507617727;info2321@inbox.ru;Среднее;Фрилансер
88;Калинин Ян Львович;1990-01-19;Краснодар;+79521306377;soft72635@list.ru;Магистратура;Сварщик
89;Козлов Вадим Романович;1988-06-02;Пермь;+79081367575;account21908@bk.ru;Профессиональное;Бухгалтер
90;Григорьев Виктор Михайлович;1983-05-16;Тольятти;+79676142007;kirill69923@inbox.ru;Магистратура;Системный администратор
91;Григорьев Пётр Никитич;1983-08-16;Воронеж;+79914190829;cloud44473@bk.ru;Аспирантура;Маркетолог
92;Романов Глеб Германович;1979-08-28;Омск;+79839138910;hard17979@mail.ru;Профессиональное;Ищет работу по специальности
93;Васильев Сергей Юрьевич;1973-05-27;Ижевск;+79639796450;soft32358@mail.ru;Аспирантура;Маркетолог
94;Романов Матвей Сергеевич;1984-12-18;Ижевск;+79221665153;andrey14424@list.ru;Магистратура;Фрилансер
95;Медведев Руслан Александрович;2003-11-29;Челябинск;+79082414204;cloud23438@mail.ru;Среднее специальное;Научный сотрудник
96;Захаров Борис Филиппович;1989-03-06;Омск;+79087460824;roma66420@yandex.ru;Общее среднее;Логист
97;Фёдоров Глеб Степанович;1976-12-16;Тольятти;+79871925817;zakharov_ruslan@rambler.ru;Профессиональное;Менеджер по продажам
98;Филиппов Маркел Кириллович;1978-11-05;Самара;+79605055928;learn85434@rambler.ru;Среднее специальное;Курьер
99;Сидоров Михаил Юрьевич;1999-06-03;Уфа;+79874818330;nikita82703@yandex.ru;Среднее;Дизайнер интерфейсов
100;Михайлов Михаил Янович;1994-08-13;Санкт-Петербург;+79815683186;volkov.mikhail@mail.ru;Среднее;Сварщик
101;Лебедев Кирилл Тимофеевич;1978-01-20;Екатеринбург;+79923239592;pasha15502@list.ru;Неоконченное высшее;Логист
102;Орлов Устин Артурович;1999-10-28;Нижний Новгород;+79309387251;temp46226@list.ru;Профессиональное;Готов к переезду
103;Филиппов Устин Павлович;1983-11-03;Ижевск;+79827261329;nikita72407@gmail.com;Аспирантура;Бухгалтер
104;Сергеев Александр Георгиевич;1982-05-17;Челябинск;+79225871782;work29063@mail.ru;Общее среднее;Бариста
105;Соколов Олег Алексеевич;1990-09-15;Красноярск;+79339929560;manager5956@rambler.ru;Аспирантура;Фрилансер
106;Зайцев Георгий Сергеевич;1992-01-19;Нижний Новгород;+79109838820;konstantin.smirnov@inbox.ru;Среднее специальное;Исследовательская деятельность
